CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,TWI,TPI,Slope,planCurv,proCurv,NDVI,VH,VV,Wet,Inun,UDepth,LDepth,Description,CoreVol,CoreMass,MoisFF,Moisture,Sand,Silt,Clay,MSand,MSilt,MClay,Texture,pHw,pHc,EC,CEC,AvailP,ExCa,ExMg,ExNa,ExK,Al,As,B,Ca,Cd,Co,Cr,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Se,Zn,Fizz,ADMoisture,MoisFAD,TotOC,TotN,d13C,d15N,MTOC,POC,HOC,ROC,DOC,DTN,NO3,NH4,FAA,WHC,Proteolysis,AAMin_k1,AAMin_k2,AAMin_a,AAMin_b,DON,MBC,MBN,MicY,CN,MicCN,Vuln,BD0_30,bdm,NDVI_mean,NDVI_sem,VH_mean,VH_sem,VV_mean,VV_sem,Wet_mean,Wet_sem,Moisture_mean,Moisture_sem,pHw_mean,pHw_sem,pHc_mean,pHc_sem,EC_mean,EC_sem,AvailP_mean,AvailP_sem,TotOC_mean,TotOC_sem,TotN_mean,TotN_sem,d13C_mean,d13C_sem,d15N_mean,d15N_sem,MTOC_mean,MTOC_sem,POC_mean,POC_sem,HOC_mean,HOC_sem,ROC_mean,ROC_sem,DOC_mean,DOC_sem,DTN_mean,DTN_sem,NO3_mean,NO3_sem,NH4_mean,NH4_sem,FAA_mean,FAA_sem,Proteolysis_mean,Proteolysis_sem,AAMin_k1_mean,AAMin_k1_sem,AAMin_k2_mean,AAMin_k2_sem,AAMin_a_mean,AAMin_a_sem,AAMin_b_mean,AAMin_b_sem,DON_mean,DON_sem,MBC_mean,MBC_sem,MBN_mean,MBN_sem,MicY_mean,MicY_sem,CN_mean,CN_sem,MicCN_mean,MicCN_sem,Vuln_mean,Vuln_sem
FCNSW_001_2019-03-26_T0_P1,FCNSW_001,FC NSW 1001,26/3/19,0,1,144.425419,-35.73389,80.57,4.41,0.300003,6.71210527,-0.004798889,1.554801583,0.826143622,0.00289604,0.22334455,-20.61222839,-14.67632008,0.455464363,n,0,30,"Few mature RRG, many samplings, some copiced; distrurbed area; 95% litter cover, grey vertosol",2829,3830,1.109,0.109,17,25,58,31,28,42,Clay,6.31,5.3,0.1482,27.81,7.79813,2492.6,1600.62,442.9,506.76,44702,0,10.3,2193.9,0,21.63,45.32,21.63,38625,5067.6,4243.6,796.19,0,594.31,27.81,201.88,21.63,124.63,0,0,60.77,n,0.031,1.03,11.3609,1.1124,-31.86,3.64,16.32114993,2.617246843,8.350857607,3.615036486,128.38,23.32,6.594,5.871,1.687,0.63,6.5817,0.1327,0.001,28.851,72.512,10.855,772.1777778,47.18,0.715369514,10.21296296,16.3666337,0.218725556,1.206267232,0.109,0.247342637,0.024343384,-20.46867867,0.506953182,-13.82505379,0.365664657,0.412374079,0.023129214,0.1316,0.010375934,6.436,0.112098171,5.292,0.046626173,0.1666,0.006328349,11.3042496,1.123204401,18.029044,2.93891635,1.452908,0.12952041,-24.414,2.53944994,3.172,0.151505775,24.70197762,2.640536283,4.771168062,0.66234092,11.52230661,1.046384813,5.184780305,0.56026297,121.616,13.99997629,31.636,5.801187465,13.3124,2.55614721,6.3968,1.109531315,1.3388,0.186568057,6.6685982,0.723300587,0.1223,0.004866313,8.80E-04,7.35E-05,30.4428,0.875669424,70.67368,0.839539594,11.9268,3.401125687,499.96,83.28440264,28.36,7.760280923,0.698947007,0.008534159,12.22544074,1.318905344,21.75717283,4.610456045,0.280470289,0.016335577
FCNSW_002_2019-03-26_T0_P2,FCNSW_002,FC NSW 1002,26/3/19,0,2,144.425642,-35.734851,80.779999,4.62,0.510002,7.05519724,0.040008545,0.70707798,0.471404523,0.009998843,0.233193278,-21.22720528,-14.93515873,0.438273758,n,0,30,"Sparse mature and juvenile RRG, coverage 10%; disturbed area; 50% litter cover",2829,3700,1.069,0.069,35,26,39,43,29,28,Silty clay loam,5.85,4.61,0.076,17.34,12.68268,1260.72,862.92,226.44,295.8,31008,0,0,1244.4,0,13.26,37.74,17.34,29274,4131,2713.2,810.9,0,267.24,20.4,294.78,18.36,134.64,0,0,52.02,n,0.02,1.02,18.5844,1.2342,-29.14,5.05,15.44804588,2.395522793,8.47824328,3.536093227,117.2,22.3,11.121,6.281,1.364,0.567,4.71648,0.1116,9.00E-04,29.344,71.3591,4.898,224.2666667,20.82,0.708608772,15.05785124,10.77169388,0.199388688,1.217638742,0.069,0.265036038,0.031771005,-20.49866524,0.644754645,-13.76131039,0.717371384,0.410251176,0.031766933,0.1058,0.01287012,6.132,0.106695829,4.746,0.048228622,0.08574,0.008050938,15.0649994,1.743925094,15.565098,2.588485744,1.283768,0.117073288,-27.494,1.314448934,4.302,0.454394102,18.82514314,1.707107085,3.151002905,0.408452733,9.932806514,0.599492965,4.089333446,0.394776363,93.916,7.13551722,23.804,5.251123308,12.4324,2.756891884,6.2034,1.861920503,1.3586,0.169775028,5.6288566,0.840182133,0.11798,0.009905524,8.80E-04,4.90E-05,28.9014,0.561573468,71.92956,0.495036147,5.1682,1.395379031,270.4266667,30.45162477,15.984,4.849216019,0.713382354,0.005362092,11.9060189,1.235710928,25.82512726,8.407748952,0.222067827,0.014975189
FCNSW_003_2019-03-26_T0_P3,FCNSW_003,FC NSW 1003,26/3/19,0,3,144.425268,-35.73518,80.739998,4.57999,0.470001,5.73089361,0.0625,2.748800039,-0.128364027,0.005745502,0.2588076,-19.21430779,-12.32167244,0.494540811,n,0,30,"Mature RRG, some juveniles, juncus, 90% litter",2829,3340,1.085,0.085,25,31,43,36,35,29,Silty clay,6.06,4.86,0.0908,20.4,10.87014,1458.6,971.04,269.28,385.56,34986,0,0,1611.6,0,21.42,39.78,20.4,35190,4967.4,3406.8,1448.4,0,359.04,24.48,300.9,19.38,123.42,0,0,57.12,n,0.023,1.02,15.0246,1.1628,-23.55,3.95,17.72720614,2.534556587,8.978239964,4.788105212,94.16,24.93,12.825,8.751,1.52,0.624,5.41212,0.0963,9.00E-04,32.725,68.435,3.354,337.8444444,16.1,0.67650257,12.92105263,20.98412698,0.184112526,1.080275716,0.085,0.295489034,0.038997588,-19.22793274,0.461996452,-12.6225565,0.488240325,0.450096911,0.026619052,0.112,0.008792042,6.222,0.10480458,4.854,0.027676705,0.10566,0.004908319,15.1350302,1.196846335,17.355528,1.114995034,1.48212,0.105510018,-26.432,1.336306103,3.81,0.125538839,26.88916736,2.385764411,4.72432221,0.639786213,12.7072944,0.96349541,6.535141462,0.467168678,92.686,5.256012367,21.31,3.60619883,11.3276,1.451461698,5.8632,0.981612469,1.3806,0.144776241,5.978522,0.899616302,0.12792,0.013919641,9.80E-04,3.74E-05,30.4726,0.9476315,70.61314,0.89545264,4.1192,1.593601876,350.4044444,13.80337838,18.94,1.873552775,0.698566703,0.009210976,11.75728533,0.3191068,18.97416353,1.266650343,0.241301945,0.020843865
FCNSW_004_2019-03-26_T0_P4,FCNSW_004,FC NSW 1004,26/3/19,0,4,144.425377,-35.735393,80.269997,4.10999,0,6.21222591,0.040000916,1.699662209,-0.755148768,-4.97E-04,0.26001513,-18.35289383,-12.24174213,0.518620133,n,0,30,"Young RRG ~5m height, 5% juncus, 10% canopy, 90% litter",2829,3240,1.037,0.037,63,21,16,63,24,14,Loam,5.44,4.43,0.0644,9.09,14.08849,743.36,413.09,115.14,165.64,14443,0,0,707,0,0,20.2,0,12524,2383.6,1403.9,181.8,0,106.05,0,189.88,10.1,125.24,0,0,27.27,n,0.011,1.01,19.3112,1.1514,-30.91,3.39,15.81753454,3.587459281,7.629279866,3.300175966,76.87,13.09,4.945,2.875,0.988,0.445,4.37431,0.0991,9.00E-04,31.642,69.3009,5.27,260.1555556,7.92,0.686535655,16.77192982,32.84792368,0.328237685,1.10290562,0.037,0.272855404,0.026058108,-18.78679581,0.284719741,-12.30405254,0.296530338,0.463288623,0.026847548,0.066,0.010285913,5.704,0.112898184,4.51,0.023452079,0.06552,0.002319138,14.0126738,0.654318245,17.96828,1.949179944,1.163662,0.05944954,-25.72,1.473594245,3.08,0.38277931,18.16544396,1.103820706,4.405198433,0.415475704,8.662000181,0.437469121,3.592634411,0.187562304,83.572,9.788191559,17.194,1.786041993,7.8436,1.164005782,3.2444,0.55469168,1.201,0.175352787,5.22738,0.48663124,0.10642,0.00581682,8.60E-04,2.45E-05,30.6152,0.624062609,70.28072,0.528933704,6.106,0.632749793,290.8133333,42.40142009,14.648,2.825403334,0.696589087,0.005903332,15.52753988,1.604043652,23.87877776,6.322297692,0.357532283,0.021962184
FCNSW_005_2019-03-26_T1_P1,FCNSW_005,FC NSW 1011,26/3/19,1,1,144.417459,-35.745008,81.370003,5.21,1.810005,5.40099144,0.101257324,0.687176883,1.027360559,0.01627399,0.338012546,-19.12982559,-12.73651791,0.496902347,n,0,30,"Mature grey box, 30% canopy; 5% bluebush; 2% moss; 60% litter",2829,3560,1.065,0.065,58,24,18,54,26,20,Loam,8.34,7.35,0.2252,19.38,41.50584,2160.36,848.64,180.54,569.16,29580,0,18.36,14790,0,11.22,30.6,24.48,25194,6732,5977.2,1468.8,0,333.54,25.5,1050.6,13.26,174.42,0,0,69.36,y,0.02,1.02,19.0638,1.53,-25.25,5.12,25.62706371,4.456327153,14.23593125,7.608379839,205.78,28.25,14.201,2.058,0.659,0.542,5.07246,0.1137,0.0014,26.323,73.2772,11.991,343.8,20.84,0.735713382,12.46,16.49712092,0.204004014,1.176599505,0.065,0.316851827,0.029054997,-18.63862991,0.148025443,-12.24997425,0.265257561,0.467584574,0.028595385,0.096,0.010986355,8.604,0.077369245,7.646,0.076197113,0.23014,0.007035169,41.6226556,2.427282486,16.438732,1.192711317,1.31886,0.092874806,-24.814,0.15038617,4.752,0.150777982,24.8830709,0.95745679,4.640403196,0.315920225,14.54202236,0.64696014,7.249167893,0.338646838,148.12,15.82866924,22,2.791605273,10.4324,2.428506179,1.9276,0.831010626,0.8818,0.120715119,6.2590092,1.016339606,0.11564,0.003615467,0.0014,0,25.108,0.699306943,74.60424,0.664083391,9.64,1.866911808,364.4,21.36520998,23.312,3.673203506,0.748206277,0.006907511,12.53042424,0.727710862,16.84768409,2.049349599,0.212660077,0.010660162
FCNSW_006_2019-03-26_T1_P2,FCNSW_006,FC NSW 1012,26/3/19,1,2,144.417561,-35.745289,80.519997,4.35999,0.959999,5.79950857,-0.011253357,2.007002115,0.251950651,0.002717752,0.243641719,-18.76263237,-13.29092598,0.507166624,n,0,30,"Mature RRG, 10% cover; 1% small saplings; 75% litter cover",2829,3790,1.102,0.102,29,22,49,36,29,35,Clay,5.99,4.93,0.1188,23.46,8.8485,1764.6,1400.46,352.92,524.28,38658,0,0,1621.8,0,20.4,41.82,20.4,33150,5038.8,3651.6,1203.6,0,424.32,26.52,223.38,22.44,123.42,0,0,60.18,n,0.023,1.02,19.2372,1.1322,-26.45,3.91,15.37254931,2.738660388,8.305689735,3.07034116,84.18,20.12,12.21,4.961,0.933,0.661,3.98208,0.1165,8.00E-04,31.704,69.5859,2.949,329.9111111,15,0.68699742,16.99099099,21.99407407,0.240739535,1.203047013,0.102,0.254930785,0.013562363,-18.53426628,0.097457465,-12.39680824,0.293183472,0.470690358,0.028916044,0.1254,0.012077251,6.124,0.117584013,4.87,0.03391165,0.12882,0.005440809,10.6642296,0.83657262,17.04921,1.846301601,1.332226,0.159095076,-24.58,0.929510624,3.792,0.271742525,20.46196726,1.910905867,3.491293981,0.431624986,10.38127173,0.764291514,4.351242368,0.422198479,86.828,3.457879986,23.56,1.888716495,15.4328,0.86449022,4.2556,0.405438725,1.0448,0.077050892,5.4501648,1.286390225,0.11776,0.005032653,8.40E-04,5.10E-05,30.589,0.756055223,70.45264,0.655628406,4.216,1.252448282,337.7822222,31.56904046,15.328,2.15993148,0.69729215,0.007179057,13.19821871,1.724860048,23.52756881,3.831928398,0.234696551,0.012075013
FCNSW_007_2019-03-26_T1_P3,FCNSW_007,FC NSW 1013,26/3/19,1,3,144.417647,-35.745413,80.190002,4.03,0.630005,5.52647734,-0.041252136,4.844833851,0.027444854,-0.002432437,0.231274635,-18.93504143,-13.30503273,0.502347231,m,0,30,"Mature RRG, 10% cover; Juvenile RRG 1%; Juncus 1%; Chenopod 1%; Litter 60%",2829,3840,1.087,0.087,39,24,38,43,27,30,Clay loam,5.6,4.61,0.1086,20.4,11.22714,1487.16,987.36,224.4,344.76,28356,0,0,1846.2,0,12.24,33.66,16.32,25908,3845.4,2346,563.04,0,282.54,17.34,251.94,18.36,186.66,0,0,47.94,n,0.019,1.02,24.0822,1.2036,-27.48,2.8,25.23859709,4.325084536,11.8546038,6.185802409,103.44,23.41,17.278,4.789,1.128,0.542,4.53288,0.0978,9.00E-04,31.431,69.4849,1.343,234.4888889,11.18,0.688542638,20.00847458,20.97396144,0.239744299,1.239278897,0.087,0.269871882,0.019105547,-18.52545815,0.136428754,-12.41567173,0.309876948,0.47058124,0.030164327,0.1042,0.0128,5.942,0.122163824,4.7,0.029664794,0.1025,0.00479604,13.7109242,0.794866795,20.726742,2.332536769,1.285534,0.041856572,-25.994,1.580682131,2.72,0.342520072,25.42200998,0.847750691,4.644852437,0.228798806,11.89948551,0.450687345,6.056296005,0.346943467,81.11,8.889317747,22.026,0.993099189,15.5638,1.935914394,3.7196,0.622329704,0.953,0.049754397,4.4367924,0.515195164,0.117,0.010795786,9.20E-04,5.83E-05,31.073,0.702882138,69.90684,0.61248096,3.1214,1.261057437,277.9333333,13.5686203,14.892,1.154306718,0.692309171,0.006681885,16.32678183,2.131533153,18.90728595,0.917656688,0.259857096,0.014442711
FCNSW_008_2019-03-26_T1_P4,FCNSW_008,FC NSW 1014,26/3/19,1,4,144.417776,-35.745531,79.559998,3.39999,0,5.54051876,-0.140914917,2.687362432,-0.272436529,-0.017103843,0.255311728,-18.23065758,-13.34630299,0.522037029,y,0,30,"Mature RRG <10%; Juncus 5%, lots of dead wood; 50% litter",2829,3740,1.048,0.048,55,23,23,58,23,19,Loam,5.72,4.72,0.0747,9.999,13.48047,888.8,516.11,137.36,206.04,16059,0,0,854.46,0,0,22.22,0,12827,2575.5,1454.4,213.11,0,145.44,10.1,169.68,12.12,114.13,0,0,30.3,n,0.012,1.01,11.9988,1.1009,-27.63,3.3,15.1239071,3.388647446,6.985789221,3.118590626,62.18,16.83,13.413,3.622,0.779,0.416,3.83295,0.115,9.00E-04,29.53,71.1897,0,245.2888889,8.86,0.706810088,10.89908257,27.68497617,0.335364218,1.258564864,0.048,0.293086869,0.013669196,-18.32352867,0.143967044,-12.50594864,0.352679877,0.475919199,0.0324691,0.1178,0.038935074,6.294,0.237035862,4.998,0.113154761,0.0614,0.007279904,17.4648202,1.77097101,11.134412,0.946486855,1.044282,0.106090109,-24.56,2.609064328,3.79,0.306952765,14.06729197,0.958928425,2.947124563,0.310817133,7.011025486,0.314727221,2.948292922,0.185070731,52.278,6.703968526,10.824,2.412431553,6.9044,3.160042604,1.945,0.711995927,0.7338,0.105423622,3.6448218,0.312708914,0.13854,0.016061058,8.60E-04,5.10E-05,31.4942,1.610053831,69.67346,1.404384595,2.2276,1.107256321,210.6133334,20.68723302,11.548,1.57634514,0.68881804,0.015239429,10.75577762,0.33003946,19.36386073,2.770862753,0.293276119,0.020409055
FCNSW_009_2019-03-27_T2_P1,FCNSW_009,FC NSW 1021,27/3/19,2,1,144.382395,-35.780812,81.239998,5.07999,1.220001,7.23809719,0.17250061,1.16666162,0.571407795,-0.003333365,0.250952989,-18.94776344,-13.32353306,0.50199157,n,0,30,"Recently thinned RRG, some coppiced, some dead RRG ~20m, RRG cover ~15%; litter 40%",2829,3430,1.123,0.123,17,26,57,28,31,42,Silty clay,5.26,4.2,0.1498,25.75,10.84693,1522.34,1371.96,344.02,354.32,45732,0,0,1380.2,0,14.42,51.5,18.54,41715,4099.4,3059.1,625.21,0,428.48,25.75,225.57,20.6,182.31,0,0,56.65,n,0.031,1.03,11.5566,1.1536,-26.43,3.82,19.98899549,3.451237937,10.25113797,4.093408607,114.26,15.43,5.025,3.894,0.991,0.652,4.39913,0.0786,7.00E-04,32.314,68.7586,6.511,238.0666667,9.06,0.680289218,10.01785714,26.27667403,0.240595819,1.063312124,0.123,0.218820846,0.031265878,-18.97433014,0.194461859,-13.11882171,0.167516764,0.455937398,0.034007593,0.1502,0.010551777,5.542,0.13606616,4.32,0.036469165,0.1477,0.011634131,8.0260616,0.932904474,15.319406,1.588211762,1.18039,0.051097575,-25.766,0.665707143,3.942,0.366406878,20.94539234,0.63640551,3.206672651,0.26018819,10.87697009,0.297412797,4.682364072,0.215269348,117.202,7.673595898,17.064,1.553314521,6.2594,0.827334672,5.2078,1.056603019,1.6054,0.294653118,5.2748842,0.527240918,0.08066,0.003695619,7.00E-04,3.16E-05,32.7766,1.229444452,68.30098,1.038840226,5.6466,1.574091408,233.9822222,3.935827202,12.844,3.004785516,0.675815525,0.011547513,12.90670592,1.02851064,21.6301142,3.751446475,0.20637162,0.016709733
FCNSW_010_2019-03-27_T2_P2,FCNSW_010,FC NSW 1022,27/3/19,2,2,144.383235,-35.780596,80.730003,4.57,0.710007,5.86268425,0.058128357,1.740020871,-0.196182489,-0.002138764,0.244531512,-18.92961693,-13.51634502,0.502498865,n,0,30,"Very disturbed site, RRG 5% coppiced / thinned, few chenopods",2829,4030,1.11,0.11,16,40,44,25,35,41,Silty clay,5.04,3.88,0.0581,20.6,11.82646,824,891.98,189.52,238.96,27707,0,0,744.69,0,17.51,40.17,15.45,35329,2873.7,2060,1143.3,0,173.04,18.54,369.77,21.63,130.81,0,0,53.56,n,0.025,1.03,13.2252,1.3081,-21.36,3.01,20.29704173,2.687585436,9.832092435,4.909822058,77.18,13.69,6.436,2.926,0.777,0.65,4.69268,0.0732,6.00E-04,33.834,67.32,4.328,239.8888889,7.8,0.6655199,10.11023622,30.75498575,0.182309119,1.267833157,0.11,0.210603689,0.03366988,-18.82141075,0.174219817,-13.01610527,0.261978239,0.461027449,0.031633709,0.159,0.017099708,5.344,0.143268978,3.954,0.022494444,0.06104,0.002110829,11.3010446,0.421945295,12.739348,0.734884351,1.086596,0.14074666,-24.872,1.089391573,3.018,0.432543639,20.50728715,0.653620058,2.5022819,0.237403279,10.22445314,0.283007613,5.21914314,0.255984607,80.43,6.100281141,13.514,0.332243886,6.2854,0.82431181,2.3874,0.379633718,1.0022,0.109063926,4.4448998,0.390867676,0.0784,0.002944147,5.80E-04,2.00E-05,34.2326,0.618437596,66.989,0.541191403,4.8412,1.11014636,233.8577778,16.54972097,10.836,2.314911661,0.661823345,0.005849152,12.630564,1.778848754,25.93621959,5.205580097,0.161950124,0.013944484
FCNSW_011_2019-03-27_T2_P3,FCNSW_011,FC NSW 1023,27/3/19,2,3,144.384195,-35.780728,80.694283,4.53428,0.674286,6.10975552,-0.022270203,0.474723637,0.142543212,-0.011416793,0.30609268,-18.11599541,-12.10103321,0.525242209,m,0,30,Mainly young RRG 30%; many branches; sedges 5%; Themeda; Litter 90%,2829,3140,1.111,0.111,18,46,36,25,39,35,Silty clay loam,5.22,4.11,0.0564,15.3,11.07924,834.36,819.06,165.24,263.16,29478,0,0,826.2,0,17.34,41.82,13.26,34476,3672,2335.8,1275,0,165.24,19.38,393.72,17.34,137.7,0,0,51,n,0.024,1.02,22.287,1.224,-22.23,2.59,22.64192498,3.485742065,11.00619949,5.337778049,92.4,11.18,3.833,1.187,1.194,0.686,5.91498,0.0924,8.00E-04,32.453,68.5814,6.16,354.2888889,12.6,0.67879257,18.20833333,28.11816578,0.213273792,0.986730293,0.111,0.299549338,0.024514312,-17.84553795,0.258082502,-11.93815689,0.3927889,0.490692097,0.031778034,0.1514,0.014108862,5.448,0.151769562,4.21,0.041352146,0.07192,0.00702178,13.6861436,0.723451165,16.12555,1.796293175,1.32287,0.083705672,-26.026,1.132314444,3.412,0.390927103,24.31613178,0.534270494,3.659944665,0.216068143,11.80981718,0.249369283,5.922318657,0.2254568,102.924,9.306371258,12.99,1.754642414,5.0784,0.743744217,1.5418,0.488762048,1.5846,0.249555525,5.964901,0.568835628,0.10452,0.004837086,7.60E-04,2.45E-05,32.1702,0.560498118,68.9963,0.468840971,6.3698,1.004201295,310.2088889,21.36103133,16.236,3.186856759,0.682026859,0.00524853,12.30144314,1.512493314,21.0303145,2.745991418,0.206738042,0.012195617
FCNSW_012_2019-03-27_T2_P4,FCNSW_012,FC NSW 1024,27/3/19,2,4,144.384389,-35.780678,80.019997,3.85999,0,5.48051739,-0.021560669,4.549061775,-0.257610708,-0.013795063,0.30609268,-18.11599541,-12.10103321,0.525242209,y,0,30,Mature RRG + saplings 30%; Juncus 10%; Litter 70%,2829,3430,1.076,0.076,22,47,31,31,39,31,Silty clay loam,5.4,4.13,0.0316,13.26,12.66636,799.68,705.84,146.88,161.16,23868,0,0,773.16,0,0,36.72,12.24,26622,2835.6,1825.8,616.08,0,133.62,15.3,338.64,17.34,75.48,0,0,42.84,n,0.019,1.02,8.5986,0.9384,-26.05,3.41,11.0748984,1.469224139,5.713346294,2.741869941,50.14,5.51,1.236,0.575,0.597,0.588,5.64366,0.0957,8.00E-04,30.669,70.3158,3.699,139.2888889,7.28,0.696300829,9.163043478,19.13308913,0.173765413,1.120296925,0.076,0.299549338,0.024514312,-17.84553795,0.258082502,-11.93815689,0.3927889,0.490692097,0.031778034,0.1756,0.057061896,5.818,0.189007936,4.324,0.095005263,0.04106,0.005093388,16.0579246,1.243856551,11.710542,1.213768588,1.04932,0.057940105,-24.57,1.942364538,3.918,0.272312321,14.01196083,0.88293526,2.052993564,0.162962355,7.036045459,0.376100209,3.413385003,0.235277933,64.54,5.417081317,6.668,0.770820342,0.8268,0.46313037,0.9226,0.457876686,1.0994,0.188255305,4.2574682,0.609093488,0.10626,0.005517391,7.60E-04,2.45E-05,32.2458,1.018857075,68.99812,0.826233465,4.9186,0.955463741,193.36,23.31005547,14.492,3.393379436,0.68157578,0.009430726,11.20520554,1.190077662,15.3584789,2.844638422,0.195440729,0.005879549
